Date,Time,PM2.5,0
1/1/2015,1:00 AM,---,172.75
1/1/2015,2:00 AM,---,
1/1/2015,3:00 AM,---,
1/1/2015,4:00 AM,---,
1/1/2015,5:00 AM,---,
1/1/2015,6:00 AM,---,
1/1/2015,7:00 AM,---,
1/1/2015,8:00 AM,---,
1/1/2015,9:00 AM,---,
1/1/2015,10:00 AM,436,
1/1/2015,11:00 AM,291,
1/1/2015,12:00 PM,270,
1/1/2015,1:00 PM,207,
1/1/2015,2:00 PM,163,
1/1/2015,3:00 PM,313,
1/1/2015,4:00 PM,233,
1/1/2015,5:00 PM,173,
1/1/2015,6:00 PM,178,
1/1/2015,7:00 PM,266,
1/1/2015,8:00 PM,449,
1/1/2015,9:00 PM,290,
1/1/2015,10:00 PM,329,
1/1/2015,11:00 PM,281,
01/01/2015 24:00 AM,,267,
