Date,Time,PM2.5,PM2.5 AQI,0
,,,,255.875
,,,,217.08333333333334
,,,,229.16666666666666
,,,,392.2083333333333
4/1/2014,1:00 AM,337.0,288.0,
4/1/2014,2:00 AM,338.0,294.0,
4/1/2014,3:00 AM,372.0,299.0,
4/1/2014,4:00 AM,346.0,304.0,
4/1/2014,5:00 AM,336.0,305.0,
4/1/2014,6:00 AM,374.0,305.0,
4/1/2014,7:00 AM,364.0,310.0,
4/1/2014,8:00 AM,374.0,315.0,
4/1/2014,9:00 AM,413.0,321.0,
4/1/2014,10:00 AM,550.0,327.0,
4/1/2014,11:00 AM,486.0,338.0,
4/1/2014,12:00 PM,349.0,349.0,
4/1/2014,1:00 PM,389.0,355.0,
4/1/2014,2:00 PM,361.0,364.0,
4/1/2014,3:00 PM,373.0,371.0,
4/1/2014,4:00 PM,352.0,380.0,
4/1/2014,5:00 PM,366.0,387.0,
4/1/2014,6:00 PM,353.0,395.0,
4/1/2014,7:00 PM,364.0,401.0,
4/1/2014,8:00 PM,434.0,406.0,
4/1/2014,9:00 PM,434.0,412.0,
4/1/2014,10:00 PM,441.0,414.0,
4/1/2014,11:00 PM,472.0,411.0,
04/01/2014 24:00 AM,,435.0,411.0,
