,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
0,1,13.4,18.9,4.4,1014.9,68,0,16.1,14.1,29.4,40.7,o, , , 
1,2,14.8,18.9,10,1017,65,0,16.1,7.8,16.5,-, , , , 
2,3,14.8,23.9,7.2,1021,58,0,16.1,5.2,14.8,-, , , , 
3,4,,,,,,,,,,, , , , 
4,5,,,,,,,,,,,o, , ,o
5,6,,,,,,,,,,, , , , 
6,7,19,23.9,14.4,1014.8,56,0,16.1,13.3,18.3,33.5, , , , 
7,8,12,21.7,6.7,1024.9,-,0,16.1,14.1,24.1,40.7, , , , 
8,9,9.7,16.1,2.8,1030.1,52,0,16.1,4.6,14.8,-, , , , 
9,10,,,,,,,,,,,o, , , 
10,11,,,,,,,,,,,o, , , 
11,12,,,,,,,,,,,o, , , 
12,13,13.6,16.1,10.6,1003.4,48,0,16.1,28.5,46.5,68.3,o, , , 
13,14,8.8,16.1,6.7,1014.5,39,0,16.1,27,38.9,64.8, , , , 
14,15,7.9,15.6,1.7,1024.3,49,0,16.1,15.7,29.4,37, , , , 
15,16,,,,,,,,,,, , , , 
16,17,,,,,,,,,,, , , , 
17,18,,,,,,,,,,, , , , 
18,19,15.4,17,14.4,1023.5,85,0,12.9,15.6,25.9,38.9,o, , , 
19,20,14.7,18,10.6,1017.7,55,21.08,14,18.1,31.7,44.6,o, , , 
20,21,7.8,17.8,3.9,1023.5,45,0,16.1,13.3,24.1,-, , , , 
21,22,,,,,,,,,,,o, , , 
22,23,,,,,,,,,,, , , , 
23,24,,,,,,,,,,, , , , 
24,25,5.8,10.6,-2.8,1037.8,50,0,16.1,6.1,14.8,-, , , , 
25,26,7.6,15.6,-0.6,1042.3,71,0,16.1,6.5,11.1,-, , , , 
26,27,11.5,18.9,1.1,1032.9,81,0,12.4,5,18.3,-, , , ,o
27,28,,,,,,,,,,,o, , , 
28,29,,,,,,,,,,,o, , , 
29,30,,,,,,,,,,, , , , 
30,Monthly means and totals:,,,,,,,,,,,,,,
